Gd(ClO4)3,Co(Ac)2·4H2O,NaHCO3,EtOH,NaOH
1.59,0.77,0.89,3.51,3.24
2.43,0.78,0.52,3.87,2.39
2.83,0.81,1.0,1.54,3.83
1.55,0.8,0.6,5.03,2.02
2.81,0.9,0.98,2.48,2.83
1.02,0.72,0.85,5.05,2.36
2.78,0.7,0.5,3.16,2.85
2.88,0.87,0.52,2.95,2.78
1.74,0.9,0.51,4.48,2.38
2.22,0.54,0.53,2.79,3.92
2.02,0.98,0.8,4.03,2.16
1.21,0.86,0.99,3.7,3.25
2.67,0.56,0.96,3.77,2.05
2.49,0.92,0.72,3.29,2.59
2.13,0.65,0.75,3.17,3.29
1.5,0.62,0.75,4.04,3.09
2.77,0.95,0.89,3.31,2.08
2.29,0.96,0.59,3.19,2.96
1.54,0.67,0.54,4.77,2.47
2.19,0.87,0.79,2.57,3.58
1.36,0.55,0.93,3.74,3.42
2.51,0.83,0.64,2.68,3.34
1.17,0.75,0.86,3.3,3.92
1.57,0.53,0.74,5.05,2.11
1.99,0.91,0.88,2.51,3.71
2.71,0.85,0.92,2.61,2.91
1.94,0.99,0.97,3.4,2.7
2.73,1.0,0.77,3.17,2.34
2.61,0.6,0.68,3.48,2.63
1.77,0.7,0.68,3.91,2.95
1.66,0.85,0.57,4.06,2.87
2.45,0.6,0.66,4.16,2.14
2.6,0.97,0.95,2.5,2.99
1.13,0.76,0.67,3.57,3.87
1.87,0.91,0.86,3.71,2.64
1.46,0.82,0.69,3.51,3.53
1.34,0.94,0.53,4.52,2.67
2.97,0.51,0.95,3.33,2.24
1.12,0.99,0.6,3.5,3.8
1.04,0.76,0.82,4.97,2.41
1.32,0.66,0.62,4.07,3.34
2.57,0.51,0.73,2.99,3.2
2.75,0.84,0.94,1.84,3.63
1.94,0.82,0.71,4.44,2.09
2.64,0.96,0.87,1.84,3.69
2.4,0.84,0.7,2.98,3.08
1.49,0.73,0.61,3.96,3.2
2.66,0.71,0.83,2.06,3.75
1.44,0.75,0.59,5.01,2.21
1.83,0.86,0.92,3.7,2.69
2.17,0.79,0.67,3.86,2.51
1.18,0.71,0.87,4.69,2.55
2.14,0.52,0.78,4.27,2.29
2.12,0.61,0.96,2.86,3.45
1.4,0.79,0.55,4.16,3.1
1.28,0.69,0.8,5.04,2.18
1.61,0.67,0.78,4.5,2.44
2.06,0.57,0.97,3.21,3.18
2.1,0.93,0.64,3.39,2.93
2.54,0.5,0.71,2.58,3.66
1.7,0.63,0.63,5.03,2.01
2.98,0.73,0.7,2.21,3.39
1.27,0.55,0.56,3.67,3.94
1.96,0.58,0.91,2.59,3.96
1.91,0.61,0.65,3.26,3.57
1.09,0.88,0.99,4.14,2.9
1.41,0.56,0.69,4.31,3.02
1.06,0.59,0.61,5.12,2.62
1.26,0.68,0.81,3.27,3.99
1.63,0.65,0.76,3.28,3.68
2.26,0.57,0.54,3.83,2.81
1.86,0.63,0.88,3.9,2.73
2.53,0.58,0.58,2.52,3.78
2.47,0.77,0.77,2.49,3.49
2.96,0.78,0.85,2.26,3.15
2.05,0.8,0.57,3.3,3.28
2.85,0.88,0.55,3.57,2.15
1.31,0.74,0.56,4.89,2.49
1.46,0.98,0.94,2.76,3.85
2.68,0.52,0.9,3.11,2.79
2.37,0.72,0.76,3.72,2.42
1.65,0.54,0.98,4.57,2.26
1.24,0.89,0.93,3.14,3.8
1.69,0.97,0.73,3.0,3.6
2.91,0.74,0.9,2.4,3.05
2.93,0.59,0.91,2.55,3.02
2.03,0.81,0.81,2.84,3.51
2.36,0.62,0.66,2.64,3.73
1.82,0.66,0.62,3.0,3.9
2.4,0.64,0.58,3.8,2.58
1.74,0.69,0.74,3.39,3.44
2.24,0.83,0.79,3.92,2.22
2.33,0.94,0.72,2.64,3.37
2.31,0.89,0.63,3.86,2.31
1.8,0.53,0.82,3.72,3.14
2.28,0.93,0.84,2.65,3.31
2.89,0.92,0.84,1.88,3.46
1.89,0.64,0.83,3.88,2.75
1.0,0.68,0.51,5.26,2.54
1.15,0.95,0.65,3.7,3.55
