Gd(ClO4)3,Co(Ac)2,NaAc,NaOH,EtOH,entropy_model1,entropy_model2,avg_entropy
2.56,1.23,1.9,3.79,0.51,0.6931,0.6931,0.6931
2.21,1.36,0.8,3.42,2.2,0.6931,0.6931,0.6931
2.16,1.56,1.38,3.39,1.51,0.6931,0.6931,0.6931
2.19,1.85,0.84,3.55,1.57,0.6931,0.6931,0.6931
1.94,1.02,0.55,2.92,3.57,0.6931,0.6931,0.6931
1.69,1.48,1.85,2.3,2.69,0.6931,0.6931,0.6931
1.37,1.64,0.89,2.07,4.02,0.6931,0.6931,0.6931
1.58,1.97,1.81,2.39,2.26,0.6931,0.6931,0.6931
2.3,1.92,1.39,3.77,0.62,0.6931,0.6931,0.6931
2.41,0.59,1.72,3.18,2.1,0.6931,0.6931,0.6931
1.67,1.86,0.81,2.66,2.99,0.6931,0.6931,0.6931
2.08,0.89,1.28,2.77,2.98,0.6931,0.6931,0.6931
2.55,1.05,0.97,3.77,1.65,0.6931,0.6931,0.6931
1.47,1.04,0.54,2.11,4.84,0.6931,0.6931,0.6931
2.19,1.19,1.86,3.13,1.63,0.6931,0.6931,0.6931
1.76,1.98,1.47,2.79,2.0,0.6931,0.6931,0.6931
2.5,0.52,0.75,3.31,2.92,0.6931,0.6931,0.6931
1.88,1.67,0.55,3.1,2.81,0.6931,0.6931,0.6931
1.88,1.63,1.93,2.76,1.81,0.6931,0.6931,0.6931
1.35,1.87,1.56,2.0,3.22,0.6931,0.6931,0.6931
1.69,0.52,0.87,2.01,4.91,0.6931,0.6931,0.6931
1.72,1.44,0.55,2.66,3.63,0.6931,0.6931,0.6931
2.49,1.52,1.19,3.94,0.86,0.6931,0.6931,0.6931
2.87,0.67,1.62,4.0,0.84,0.693,0.693,0.693
1.8,1.16,0.97,2.7,3.36,0.693,0.693,0.693
2.11,1.91,1.78,3.32,0.88,0.693,0.693,0.693
2.88,0.56,0.58,3.92,2.07,0.6929,0.6929,0.6929
1.68,1.15,1.2,2.27,3.69,0.6929,0.6929,0.6929
