Gd(ClO4)3,Co(Ac)2,NaAc,EtOH,NaOH,Gd104,Gd42
1.44,0.64,0.71,3.99,3.22,0,0
2.17,0.85,0.84,3.06,3.08,0,0
1.73,0.84,0.95,3.12,3.35,0,0
1.63,0.66,0.94,4.13,2.65,0,1
1.36,0.95,0.69,4.45,2.55,0,0
1.62,0.77,0.9,3.89,2.82,0,0
1.31,0.69,0.92,4.47,2.61,0,0
2.22,0.72,0.76,3.53,2.77,1,0
1.75,0.58,0.66,3.83,3.18,0,0
2.89,0.97,0.68,2.62,2.84,1,0
1.46,0.83,0.87,4.16,2.68,0,0
2.04,0.86,0.7,3.55,2.86,0,0
1.84,0.61,0.73,3.53,3.29,0,0
2.27,0.52,0.93,3.2,3.07,0,1
2.97,0.59,0.91,2.47,3.05,1,0
2.32,0.7,0.54,3.02,3.42,0,0
1.04,0.93,0.96,3.77,3.3,0,0
2.24,0.55,0.98,2.8,3.43,0,0
2.01,0.79,0.86,3.78,2.56,0,1
1.78,0.88,0.53,3.87,2.93,0,1
1.24,0.56,0.69,4.52,2.99,0,0
1.28,0.94,0.75,4.07,2.96,0,0
2.95,0.52,0.78,3.17,2.59,0,1
1.69,0.96,0.59,3.61,3.16,0,0
1.11,0.99,0.67,3.83,3.39,0,0
2.44,0.9,0.79,2.82,3.04,1,0
1.12,0.61,0.62,5.02,2.63,0,0
2.34,0.57,0.72,3,3.37,1,0
2.67,0.92,0.53,3.36,2.52,0,0
1.66,0.67,0.68,3.79,3.2,0,0
2.48,0.89,0.6,3.47,2.57,1,0
2.51,0.68,0.64,3.51,2.66,1,0
2.69,0.64,0.83,2.96,2.88,1,0
2.91,0.88,0.67,2.98,2.57,1,0
2.72,0.75,0.79,2.48,3.26,1,0
1.48,0.91,0.57,3.83,3.22,0,0
2.93,0.62,0.63,2.5,3.32,1,0
2.77,0.7,0.76,2.36,3.4,1,0
1.89,0.67,0.54,4.18,2.73,1,0
1.25,0.56,0.96,3.99,3.24,0,0
1.92,0.81,0.55,3.98,2.74,0,0
2.04,0.94,0.51,3.72,2.79,0,0
1.39,0.8,0.57,3.77,3.47,0,0
2.74,0.74,0.5,2.91,3.09,1,0
2.29,0.79,0.75,2.97,3.2,1,0
1.87,0.82,0.81,3.78,2.72,0,0
2.85,0.98,0.63,2.16,3.38,1,0
2.79,0.76,0.97,2.12,3.36,1,0
2.35,0.76,0.89,3.4,2.6,0,1
1.02,0.53,0.98,4.28,3.19,0,1
2.07,0.89,0.62,3.78,2.63,0,0
1.06,0.51,0.97,4.94,2.52,0,0
2.59,0.86,0.85,3.03,2.67,0,0
2.11,0.58,0.58,3.31,3.42,0,0
2,0.63,0.6,3.82,2.95,0,0
2.57,0.6,0.92,3,2.91,0,1
1.21,0.97,0.7,3.66,3.45,0,0
2.62,0.51,0.99,2.51,3.37,0,0
3,1,0.77,2.35,2.88,0,0
2.53,0.82,0.94,2.23,3.49,1,0
2.13,0.6,0.52,3.95,2.81,1,0
2.39,0.78,0.99,3.3,2.53,0,1
1.52,0.59,0.82,3.58,3.5,0,0
1.77,0.73,0.65,3.91,2.94,0,1
1.49,0.8,0.51,4.19,3.01,0,0
1.01,0.91,0.74,4.44,2.9,0,0
1.34,0.65,0.61,4.37,3.03,0,0
1.84,0.54,0.8,3.78,3.04,0,0
2.55,0.87,0.55,2.71,3.32,0,1
1.95,0.55,0.87,3.78,2.84,1,0
1.58,0.75,0.91,4.17,2.59,0,1
1.57,0.98,0.81,3.67,2.98,0,0
1.33,0.74,0.88,4.32,2.74,0,0
1.98,0.72,0.95,3.68,2.68,0,1
2.81,0.71,0.61,2.8,3.07,0,0
2.84,0.9,0.64,2.92,2.7,0,1
1.15,0.95,0.89,3.76,3.25,0,0
2.37,0.53,0.88,3.4,2.82,0,0
1.92,0.99,0.59,3.39,3.12,1,0
2.62,0.63,0.65,3.6,2.5,0,0
2.1,0.84,0.78,3.42,2.86,0,0
2.5,0.81,0.56,2.69,3.45,1,0
1.81,0.54,0.9,3.48,3.27,0,0
1.51,0.62,0.93,3.61,3.34,0,0
2.25,0.5,0.56,3.99,2.69,0,0
1.54,0.68,0.71,3.96,3.11,0,1
1.17,0.96,0.74,4.37,2.76,0,0
2.2,0.66,0.72,3.13,3.28,0,0
1.71,0.57,0.73,3.69,3.3,0,0
2.73,0.77,0.8,2.71,2.99,0,1
1.2,0.73,0.83,4.23,3.01,0,0
1.4,0.92,0.86,3.36,3.47,0,0
2.87,0.93,0.77,2.32,3.11,0,1
2.4,0.71,0.85,2.87,3.16,0,0
1.65,0.65,0.66,4.25,2.79,0,0
1.09,0.78,1,4.24,2.9,0,0
1.27,0.87,0.82,3.9,3.14,0,0
2.15,0.69,0.84,3.4,2.93,0,0
2.64,0.85,0.58,3.15,2.77,0,0
2.44,0.83,0.52,3.06,3.15,1,0
