Gd(ClO4)3,Co(Ac)2,NaAc,EtOH,NaOH,Gd104,Gd42
2.3,1.4,0.74,3.56,2,0,1
1.88,1.38,0.64,2.44,3.65,0,0
2.09,1.54,0.65,3.7,2.02,0,1
1.82,1.19,0.81,2.49,3.7,0,0
2.59,1.46,0.92,1.43,3.61,0,1
1.57,1.48,0.85,3.97,2.14,0,1
2.93,1.15,0.79,2.81,2.32,0,0
2.05,1.8,0.55,1.89,3.7,0,0
1.54,1.3,0.7,4.29,2.17,0,0
1.51,1.21,0.77,4.4,2.11,0,0
2.12,1.4,0.91,1.83,3.74,0,0
2.37,1.99,0.99,2.05,2.6,0,1
1.85,1.42,0.8,3.6,2.32,0,1
1.27,1.21,0.96,3.94,2.63,0,0
1.39,1.57,0.58,4.4,2.05,1,0
2.63,1.37,0.78,1.89,3.33,0,1
2.26,1.64,0.65,2.46,2.98,0,1
2.17,1.87,0.82,2.54,2.61,0,1
2.19,1.19,0.95,2.44,3.24,0,1
1.32,1.32,0.73,4.44,2.2,0,0
1.92,1.7,0.79,1.71,3.89,0,0
2.34,1.1,0.66,2.46,3.43,0,0
1.29,1.37,0.99,3.94,2.41,0,0
2.65,1.82,0.77,1.38,3.38,0,1
2.78,1.55,0.54,3.06,2.07,0,1
1.35,1.5,0.94,2.39,3.82,1,0
2.7,1.74,0.86,2.04,2.66,0,1
1.67,1.34,0.82,2.91,3.27,0,0
2.78,1.07,0.62,3.08,2.45,1,0
2.2,1.24,0.73,2.25,3.57,0,0
1.49,1.69,0.91,2.54,3.36,0,0
2.54,1.09,0.69,2.06,3.63,0,1
2.1,1.06,0.85,3.5,2.49,0,1
1.47,1.29,0.89,2.87,3.48,0,0
1.1,1.91,0.75,3.53,2.71,0,0
1.95,1.54,0.96,2.52,3.02,1,0
2.24,1.89,0.67,2.93,2.26,0,1
2.02,1.02,0.69,2.74,3.53,0,1
2.51,1.95,0.87,1.84,2.82,0,0
1.2,1.61,0.97,2.39,3.83,0,0
1.64,1.88,0.83,3.5,2.15,0,0
1.74,1.75,0.61,2.7,3.2,0,0
1.25,1.49,0.88,3.3,3.09,0,0
1.59,1.61,0.6,2.25,3.95,0,0
2.46,1.11,0.76,1.73,3.93,0,1
2.81,1.05,0.56,3.21,2.37,1,0
2.56,1.7,0.83,2.82,2.09,0,1
2.61,1.07,0.8,1.66,3.87,0,1
1.24,1.93,0.56,3.21,3.06,0,0
2.83,1.23,0.66,3.07,2.21,1,0
2.46,1.53,0.93,2.84,2.25,1,0
2.07,1.84,0.62,2,3.47,0,0
1.7,1.93,0.98,2.51,2.87,0,0
1.1,1.78,0.55,3.79,2.78,0,0
1.17,1.64,0.93,3.45,2.82,0,0
1.02,1.85,0.6,3.17,3.36,0,0
1.61,1.67,0.5,3.07,3.15,0,0
1.44,1.62,0.88,2.28,3.78,0,0
2.41,1.27,0.64,2.28,3.4,0,1
2.01,1.44,0.68,2.66,3.2,0,0
1.15,1.97,0.78,3.42,2.67,0,1
1.93,1.09,0.9,3.17,2.91,0,1
2.68,1.75,0.57,2.52,2.47,0,1
2.97,1.44,0.51,1.78,3.29,0,1
1.98,1.6,0.84,1.62,3.97,0,0
2.76,1.51,0.58,2.43,2.72,0,1
2.32,1.84,0.95,2.14,2.75,0,1
1.66,1.03,0.74,3.61,2.96,0,1
2.15,1.47,0.92,2.97,2.5,0,1
1.46,1.71,0.97,2,3.86,0,0
1.06,1.77,0.72,2.67,3.78,0,0
1.18,1.68,0.7,3.89,2.55,0,0
1.77,1.01,0.94,3.15,3.13,0,1
2.57,1.51,0.75,1.19,3.98,0,1
2.9,1.41,0.71,2.05,2.93,0,1
2.72,1.31,0.76,2.36,2.85,1,0
1.79,1.34,0.84,2.85,3.17,0,0
2.69,1.59,0.68,1.46,3.59,0,1
1.02,1.16,0.59,4.85,2.38,0,1
1.84,1.99,0.72,3.21,2.23,0,1
2.85,1.58,1,1.55,3.02,0,1
2.89,1.16,0.9,2.37,2.7,0,1
1.98,1.13,0.71,2.87,3.31,0,0
2.94,1.26,0.86,2.04,2.9,0,1
1.12,1.35,0.81,2.98,3.73,0,0
1.37,1.66,0.57,4.07,2.34,0,0
1.88,1.25,0.67,3.91,2.29,0,1
2.43,1.97,0.87,1.62,3.11,0,1
1.33,1.13,0.59,3.43,3.51,0,0
2.87,1.78,0.53,2.25,2.57,1,0
1.54,1.95,0.89,2.17,3.45,0,0
2.5,1.32,0.53,2.86,2.79,0,1
1.7,1.72,0.61,2.93,3.04,0,0
3,1.18,0.52,2.78,2.53,0,1
2.4,1.23,0.54,2.59,3.24,0,1
2.28,1.92,0.98,1.27,3.56,0,0
1.41,1.83,0.52,3.25,2.99,0,0
2.24,1.88,0.63,2.83,2.42,0,1
1.04,1.79,0.51,2.74,3.92,0,0
1.73,1.04,0.63,2.93,3.67,0,1
