Gd(ClO4)3,Co(Ac)2,NaAc,EtOH,NaOH,Gd104,Gd42
2.22,0.64,0.9,2.82,3.42,0.0,0.0
1.63,0.66,0.57,3.93,3.21,0.0,0.0
1.56,0.61,0.84,3.92,3.07,0.0,0.0
2.64,0.85,0.54,2.73,3.24,0.0,0.0
2.15,0.78,0.59,2.95,3.53,0.0,0.0
2.28,1.0,0.98,2.45,3.29,1.0,0.0
1.53,0.88,0.91,3.07,3.62,0.0,0.0
1.66,0.79,0.83,3.23,3.49,0.0,0.0
2.71,0.74,0.8,2.49,3.26,0.0,0.0
1.35,0.94,0.77,3.79,3.15,0.0,0.0
2.43,0.69,0.89,2.51,3.48,0.0,0.0
1.69,0.81,0.94,3.14,3.42,0.0,0.0
2.8,0.68,0.52,2.56,3.44,0.0,0.0
1.9,0.84,0.79,2.59,3.87,0.0,0.0
1.61,0.89,0.74,3.66,3.1,0.0,0.0
2.12,0.57,0.57,3.2,3.55,0.0,0.0
2.99,0.81,0.77,2.03,3.4,0.0,0.0
1.75,0.99,0.72,3.21,3.32,0.0,0.0
2.22,0.9,0.76,2.21,3.91,0.0,0.0
1.36,0.83,0.64,3.44,3.73,0.0,0.0
2.26,0.71,0.51,2.75,3.77,0.0,0.0
2.28,0.76,0.71,2.44,3.82,0.0,0.0
1.06,0.95,0.58,4.4,3.01,0.0,0.0
2.58,0.55,0.72,2.18,3.98,0.0,0.0
1.92,0.52,0.63,3.13,3.8,0.0,0.0
1.3,0.63,0.87,3.67,3.53,0.0,0.0
1.97,0.66,0.67,3.19,3.5,0.0,0.0
1.33,0.73,0.55,3.44,3.94,0.0,0.0
1.48,0.52,0.78,3.35,3.87,0.0,0.0
1.58,0.75,0.6,3.62,3.45,0.0,0.0
1.07,0.69,0.82,3.57,3.85,0.0,0.0
1.55,0.56,0.53,3.37,4.0,0.0,0.0
2.35,0.78,0.89,2.97,3.0,1.0,0.0
2.8,0.54,0.69,2.94,3.03,0.0,0.0
2.37,0.97,0.76,2.12,3.79,1.0,0.0
2.38,0.82,0.9,2.54,3.36,0.0,0.0
2.83,0.6,0.66,2.35,3.57,0.0,0.0
1.3,0.72,0.73,3.55,3.7,0.0,0.0
1.65,0.86,0.53,3.26,3.69,0.0,0.0
2.02,0.57,0.99,3.14,3.28,0.0,0.0
2.73,0.77,0.7,2.5,3.3,1.0,0.0
