Gd(ClO4)3,Co(Ac)2,NaAc,NaOH,EtOH,Gd104,Gd42
2.56,1.23,1.9,3.79,0.51,0.0,0.0
2.21,1.36,0.8,3.42,2.2,0.0,0.0
2.16,1.56,1.38,3.39,1.51,0.0,0.0
2.19,1.85,0.84,3.55,1.57,0.0,0.0
1.94,1.02,0.55,2.92,3.57,0.0,0.0
1.69,1.48,1.85,2.3,2.69,0.0,1.0
1.37,1.64,0.89,2.07,4.02,0.0,0.0
1.58,1.97,1.81,2.39,2.26,0.0,0.0
2.3,1.92,1.39,3.77,0.62,0.0,0.0
2.41,0.59,1.72,3.18,2.1,0.0,0.0
1.67,1.86,0.81,2.66,2.99,0.0,0.0
2.08,0.89,1.28,2.77,2.98,1.0,0.0
2.55,1.05,0.97,3.77,1.65,1.0,0.0
1.47,1.04,0.54,2.11,4.84,0.0,1.0
2.19,1.19,1.86,3.13,1.63,0.0,0.0
1.76,1.98,1.47,2.79,2.0,0.0,0.0
2.5,0.52,0.75,3.31,2.92,0.0,0.0
1.88,1.67,0.55,3.1,2.81,0.0,0.0
1.88,1.63,1.93,2.76,1.81,0.0,1.0
1.35,1.87,1.56,2.0,3.22,0.0,0.0
1.69,0.52,0.87,2.01,4.91,0.0,0.0
1.72,1.44,0.55,2.66,3.63,0.0,0.0
2.49,1.52,1.19,3.94,0.86,0.0,0.0
2.87,0.67,1.62,4.0,0.84,0.0,1.0
1.8,1.16,0.97,2.7,3.36,0.0,0.0
2.11,1.91,1.78,3.32,0.88,0.0,0.0
2.88,0.56,0.58,3.92,2.07,0.0,0.0
1.68,1.15,1.2,2.27,3.69,0.0,1.0
1.8,0.97,1.97,2.2,3.06,0.0,0.0
1.97,0.56,1.76,2.42,3.29,0.0,0.0
2.44,1.94,1.83,3.98,-0.19,0.0,0.0
1.84,0.59,0.51,2.48,4.58,0.0,0.0
2.02,1.31,1.43,2.98,2.25,0.0,1.0
2.33,1.04,1.36,3.54,1.73,0.0,1.0
1.87,0.66,1.2,2.32,3.95,1.0,0.0
1.96,1.9,1.13,3.16,1.86,0.0,1.0
2.2,0.56,0.79,2.88,3.57,0.0,0.0
2.75,0.63,1.14,3.87,1.62,0.0,0.0
2.47,1.41,0.57,3.85,1.7,0.0,1.0
2.72,0.7,1.95,3.58,1.06,1.0,0.0
2.28,1.87,0.58,3.97,1.29,1.0,0.0
1.45,1.87,1.2,2.4,3.08,0.0,0.0
1.23,1.97,0.53,2.44,3.82,0.0,0.0
2.09,1.16,1.84,2.57,2.34,0.0,1.0
1.65,0.52,1.98,2.0,3.84,0.0,0.0
2.39,0.51,1.29,3.49,2.32,0.0,0.0
2.36,0.5,1.38,2.62,3.14,0.0,0.0
1.26,1.46,1.86,2.02,3.4,0.0,0.0
2.88,1.36,1.48,4.0,0.27,0.0,0.0
1.28,1.34,1.37,2.1,3.91,0.0,0.0
2.92,0.52,1.29,3.3,1.98,0.0,0.0
2.15,1.42,1.84,3.57,1.02,0.0,0.0
1.79,1.4,1.05,3.21,2.55,0.0,0.0
1.92,1.6,1.26,2.57,2.64,0.0,0.0
1.08,1.37,0.58,2.19,4.78,0.0,0.0
2.22,0.87,0.67,3.55,2.68,1.0,0.0
1.99,0.91,0.7,2.14,4.25,1.0,0.0
2.95,1.09,0.57,3.87,1.52,0.0,0.0
2.92,1.71,1.85,3.99,-0.47,0.0,0.0
2.7,0.53,0.53,2.72,3.53,0.0,0.0
1.72,1.9,0.5,2.11,3.77,0.0,0.0
1.45,0.69,1.54,2.07,4.26,0.0,0.0
1.77,1.9,1.21,2.01,3.11,0.0,0.0
2.77,1.81,0.81,3.88,0.73,0.0,0.0
