Gd(ClO4)3,Co(Ac)2,NaAc,EtOH,NaOH,Y
2.3,0.58,1.12,2.68,3.32,0
2.65,0.81,1.03,2.08,3.42,0
2.98,0.55,1.35,1.24,3.88,0
2.64,0.68,1.86,2.07,2.75,0
2.73,0.62,1.58,1.46,3.61,0
2.47,0.55,1.88,2.28,2.82,0
2.7,0.73,1.41,2.47,2.69,0
2.99,0.74,1.53,2.73,2.0,0
2.49,0.6,1.79,3.04,2.08,0
2.76,0.78,1.05,2.25,3.16,0
2.33,0.66,0.86,4.1,2.05,0
2.5,0.81,0.61,3.97,2.12,0
2.57,0.61,0.71,3.91,2.2,0
2.95,0.82,0.79,3.34,2.1,0
2.07,0.6,0.54,4.58,2.22,0
1.74,0.78,0.98,3.91,2.59,1
2.37,0.5,0.85,3.88,2.41,0
1.86,0.92,0.88,4.09,2.26,1
1.41,0.96,0.75,4.71,2.16,1
2.86,0.99,0.86,3.1,2.19,0
1.97,0.57,0.74,3.88,2.85,0
2.78,0.89,1.0,2.59,2.73,0
2.48,0.71,0.97,2.89,2.96,0
2.28,0.88,0.68,3.69,2.46,0
2.03,0.69,0.55,3.98,2.75,0
2.65,0.83,0.61,3.81,2.1,0
2.42,0.56,0.52,3.95,2.56,0
2.92,0.98,0.62,3.07,2.41,0
1.81,0.53,0.55,4.84,2.27,0
2.61,0.56,0.94,3.35,2.54,0
1.88,0.76,0.67,4.24,2.45,0
2.9,0.86,0.99,2.88,2.37,0
1.68,0.99,0.69,4.63,2.0,1
2.19,0.68,0.66,3.53,2.94,0
2.34,0.81,0.78,3.99,2.08,1
2.14,0.63,0.93,3.57,2.73,0
2.53,0.79,0.99,3.34,2.35,1
1.91,0.65,0.98,4.08,2.39,1
2.96,0.9,0.83,3.16,2.15,1
1.45,0.64,0.8,4.18,2.92,1
2.21,0.7,0.51,4.24,2.34,1
1.39,0.63,0.94,4.82,2.22,1
1.79,0.55,0.84,4.63,2.19,1
2.26,0.65,0.87,4.09,2.13,1
1.63,0.66,0.94,4.13,2.65,1
2.22,0.72,0.76,3.53,2.77,0
2.89,0.97,0.68,2.62,2.84,0
2.27,0.52,0.93,3.2,3.07,1
2.97,0.59,0.91,2.47,3.05,0
2.01,0.79,0.86,3.78,2.56,1
1.78,0.88,0.53,3.87,2.93,1
2.95,0.52,0.78,3.17,2.59,1
2.44,0.9,0.79,2.82,3.04,0
2.34,0.57,0.72,3.0,3.37,0
2.48,0.89,0.6,3.47,2.57,0
2.51,0.68,0.64,3.51,2.66,0
2.69,0.64,0.83,2.96,2.88,0
2.91,0.88,0.67,2.98,2.57,0
2.72,0.75,0.79,2.48,3.26,0
2.93,0.62,0.63,2.5,3.32,0
2.77,0.7,0.76,2.36,3.4,0
1.89,0.67,0.54,4.18,2.73,0
2.74,0.74,0.5,2.91,3.09,0
2.29,0.79,0.75,2.97,3.2,0
2.85,0.98,0.63,2.16,3.38,0
2.79,0.76,0.97,2.12,3.36,0
2.35,0.76,0.89,3.4,2.6,1
1.02,0.53,0.98,4.28,3.19,1
2.57,0.6,0.92,3.0,2.91,1
2.53,0.82,0.94,2.23,3.49,0
2.13,0.6,0.52,3.95,2.81,0
2.39,0.78,0.99,3.3,2.53,1
1.77,0.73,0.65,3.91,2.94,1
2.55,0.87,0.55,2.71,3.32,1
1.95,0.55,0.87,3.78,2.84,0
1.58,0.75,0.91,4.17,2.59,1
1.98,0.72,0.95,3.68,2.68,1
2.84,0.9,0.64,2.92,2.7,1
1.92,0.99,0.59,3.39,3.12,0
2.5,0.81,0.56,2.69,3.45,0
1.54,0.68,0.71,3.96,3.11,1
2.73,0.77,0.8,2.71,2.99,1
2.87,0.93,0.77,2.32,3.11,1
2.44,0.83,0.52,3.06,3.15,0
2.28,1.0,0.98,2.45,3.29,0
2.35,0.78,0.89,2.97,3.0,0
2.37,0.97,0.76,2.12,3.79,0
2.73,0.77,0.7,2.5,3.3,0
2.61,0.62,0.86,2.6,3.31,0
2.94,0.96,0.95,1.49,3.67,0
2.97,0.9,0.91,1.39,3.82,0
2.41,0.88,0.62,2.84,3.25,0
2.85,0.99,0.97,1.83,3.37,0
